id,name,calculation_method,payment_subject,vat,price
1,customer loyalty,0,7,0,44.77
2,radical,0,2,4,76.24
3,algorithm,1,18,0,9.7
4,protocol,6,18,1,64.58
5,capacity,4,4,6,63.22
6,Monitored,4,14,0,63.93
7,application,1,15,5,41.88
8,Total,5,24,6,70.82
9,systematic,5,21,0,63.27
10,non-volatile,4,16,0,88.65
11,systemic,6,13,2,58.18
12,Ameliorated,2,9,3,91.67
13,web-enabled,2,4,6,50.87
14,Cross-group,2,10,0,22.6
15,Implemented,3,21,4,18.92
16,Exclusive,3,24,4,4.99
17,User-centric,6,5,6,57.0
18,attitude,3,19,1,25.35
19,superstructure,5,8,4,28.29
20,directional,1,22,0,82.24
21,dedicated,3,0,4,18.58
22,reciprocal,3,20,2,2.71
23,Operative,3,26,0,91.02
24,Down-sized,4,20,2,47.49
25,dedicated,5,16,4,4.53
26,bandwidth-monitored,4,4,5,70.12
27,project,6,16,5,80.96
28,Self-enabling,6,8,2,51.24
29,Ameliorated,4,6,5,1.44
30,approach,3,23,2,70.35
31,paradigm,2,19,5,86.7
32,homogeneous,3,15,0,32.05
33,Persevering,4,9,3,60.99
34,Exclusive,6,3,0,26.73
35,non-volatile,1,26,2,92.63
36,Quality-focused,0,13,0,47.05
37,open architecture,1,5,2,67.53
38,explicit,6,7,0,29.59
39,structure,4,9,0,74.23
40,content-based,3,0,5,33.28
41,strategy,4,7,5,88.61
42,Future-proofed,4,16,4,12.59
43,Profit-focused,0,13,3,26.91
44,Virtual,5,18,3,86.91
45,Digitized,2,0,4,23.09
46,project,6,16,4,27.28
47,Multi-lateral,5,0,4,99.39
48,throughput,6,3,2,98.03
49,homogeneous,5,17,4,81.48
50,Realigned,4,9,3,50.63
51,orchestration,1,8,5,32.49
52,De-engineered,0,1,4,60.28
53,migration,5,13,0,29.47
54,focus group,3,23,4,91.1
55,Function-based,6,12,0,24.64
56,Open-architected,6,17,6,95.94
57,clear-thinking,4,10,5,58.47
58,tertiary,1,19,1,14.81
59,challenge,0,12,3,94.81
60,Vision-oriented,1,11,0,56.86
61,user-facing,1,24,6,2.3
62,asynchronous,6,1,5,62.65
63,zero defect,4,8,0,22.48
64,encoding,5,3,5,27.21
65,well-modulated,3,8,2,23.32
66,value-added,5,9,3,82.61
67,Exclusive,1,25,0,50.84
68,access,1,18,6,9.11
69,client-driven,2,2,4,25.99
70,Adaptive,1,25,5,20.51
71,hub,0,24,1,61.21
72,bi-directional,6,5,0,3.15
73,systemic,3,14,1,64.06
74,solution,2,25,3,40.59
75,content-based,2,3,6,51.07
76,Down-sized,3,13,5,66.34
77,6th generation,0,2,1,23.61
78,optimal,2,14,2,55.43
79,functionalities,5,4,5,80.96
80,multi-tasking,3,8,5,38.66
81,Total,5,18,3,63.78
82,content-based,1,9,2,87.76
83,zero tolerance,3,10,1,37.94
84,Customer-focused,1,23,3,14.23
85,Stand-alone,5,20,6,53.61
86,Balanced,5,19,4,42.78
87,dedicated,4,9,5,79.69
88,Digitized,1,25,2,38.57
89,context-sensitive,1,7,3,49.78
90,transitional,0,9,0,35.34
91,Down-sized,6,25,1,28.63
92,paradigm,6,22,0,11.84
93,help-desk,5,19,2,48.87
94,Grass-roots,3,21,2,24.65
95,3rd generation,2,0,6,25.39
96,uniform,4,23,1,32.97
97,Automated,6,20,3,42.49
98,challenge,2,19,6,39.34
99,framework,3,22,1,64.37
100,analyzing,5,17,2,17.2
101,multi-tasking,1,21,4,40.68
102,5th generation,5,20,3,23.26
103,regional,6,19,6,37.27
104,maximized,0,26,6,34.88
105,Future-proofed,3,11,1,65.07
106,Profound,6,3,2,10.39
107,dedicated,3,2,2,63.12
108,initiative,6,20,4,97.47
109,local area network,5,13,4,58.08
110,Expanded,1,7,3,80.88
111,Function-based,1,9,5,74.45
112,grid-enabled,6,6,0,90.95
113,conglomeration,6,19,4,1.79
114,collaboration,3,15,0,45.43
115,global,6,25,0,68.63
116,Upgradable,5,5,6,53.74
117,Graphical User Interface,0,15,4,92.25
118,database,0,7,2,84.58
119,upward-trending,6,25,4,9.95
120,coherent,5,17,4,72.58
121,encoding,2,9,3,92.71
122,Centralized,2,8,0,53.56
123,synergy,3,15,1,57.53
124,throughput,5,10,0,63.24
125,composite,3,22,1,45.5
126,clear-thinking,3,5,1,54.18
127,Customer-focused,3,21,4,78.1
128,monitoring,4,3,3,94.13
129,knowledge user,2,6,5,95.83
130,Cross-platform,4,25,6,3.48
131,orchestration,3,23,2,5.39
132,Assimilated,3,17,1,95.92
133,human-resource,0,13,5,35.01
134,paradigm,1,11,2,26.65
135,intranet,3,1,4,98.67
136,approach,2,4,6,24.43
137,Proactive,6,21,6,34.51
138,extranet,0,0,3,22.07
139,Phased,5,0,2,90.2
140,3rd generation,2,18,2,37.69
141,process improvement,1,0,4,52.35
142,forecast,4,15,1,90.77
143,Cross-platform,0,1,0,30.37
144,bifurcated,6,0,3,1.14
145,Total,4,24,4,77.32
146,circuit,2,4,2,41.65
147,Ergonomic,3,22,2,9.62
148,non-volatile,2,5,6,55.82
149,leading edge,1,13,5,81.52
150,local,1,15,1,29.03
151,Virtual,0,11,6,32.39
152,needs-based,4,9,5,83.04
153,foreground,4,26,0,97.63
154,knowledge base,2,9,1,70.76
155,Fully-configurable,6,5,0,10.99
156,Synergistic,1,7,0,78.42
157,Managed,5,2,5,26.61
158,optimizing,1,13,0,57.82
159,monitoring,3,0,6,62.04
160,Organic,4,19,6,67.77
161,concept,3,0,3,57.07
162,zero administration,5,16,1,10.91
163,array,2,5,0,47.26
164,secured line,6,1,5,48.34
165,Re-contextualized,4,14,0,7.33
166,6th generation,0,1,5,54.67
167,demand-driven,5,24,6,48.02
168,support,4,6,1,74.89
169,workforce,4,19,4,51.65
170,directional,5,8,3,32.38
171,eco-centric,5,10,2,97.3
172,scalable,1,14,6,38.32
173,Sharable,2,2,3,22.88
174,extranet,2,8,2,35.05
175,Open-source,0,11,5,25.87
176,disintermediate,2,4,2,24.48
177,web-enabled,5,25,6,7.59
178,regional,1,15,5,91.96
179,database,3,25,0,51.21
180,Organic,2,18,2,82.35
181,approach,4,26,1,22.36
182,Business-focused,4,12,2,40.0
183,transitional,2,1,5,37.13
184,static,5,10,4,7.71
185,function,0,7,0,48.35
186,Reverse-engineered,4,18,5,49.43
187,explicit,1,11,0,5.24
188,Integrated,1,8,3,43.35
189,bandwidth-monitored,3,24,4,55.79
190,function,1,9,1,46.05
191,Virtual,5,25,4,79.62
192,24 hour,1,18,1,3.24
193,Synergized,4,3,3,33.25
194,customer loyalty,5,15,1,78.4
195,Upgradable,0,4,4,40.52
196,Quality-focused,3,13,3,37.44
197,Graphical User Interface,2,15,5,92.73
198,Inverse,2,19,3,75.27
199,zero defect,3,23,0,52.49
200,Re-engineered,3,12,2,93.91
201,mission-critical,3,19,4,86.19
202,zero administration,5,7,6,4.56
203,Compatible,0,14,6,52.58
204,De-engineered,5,20,0,86.04
205,knowledge base,5,20,0,67.05
206,Diverse,6,5,2,39.66
207,Customizable,6,20,0,59.12
208,time-frame,0,10,3,27.05
209,human-resource,2,11,1,90.4
210,client-driven,2,19,1,12.94
211,4th generation,0,7,2,85.71
212,website,0,4,4,17.5
213,challenge,5,22,3,59.25
214,Fundamental,0,17,3,49.01
215,User-centric,3,22,4,84.59
216,Re-engineered,1,25,1,7.98
217,hub,1,14,6,3.66
218,Seamless,6,0,5,89.57
219,matrix,5,8,6,91.41
220,Seamless,0,18,6,90.65
221,optimizing,2,13,2,59.42
222,fresh-thinking,0,0,5,57.66
223,Integrated,2,25,3,13.51
224,zero administration,1,23,6,2.11
225,systematic,6,21,3,71.84
226,multi-tasking,4,22,1,82.53
227,global,0,12,6,47.32
228,product,3,9,2,49.88
229,secondary,5,8,4,78.18
230,Extended,6,1,5,36.98
231,Focused,5,15,3,58.38
232,Triple-buffered,6,20,4,55.78
233,emulation,4,2,3,56.17
234,demand-driven,6,15,4,47.69
235,Total,3,23,1,32.63
236,capability,4,20,2,35.0
237,Universal,4,2,4,46.28
238,Proactive,6,16,1,68.82
239,systematic,1,26,6,53.92
240,De-engineered,4,15,0,73.68
241,Visionary,3,2,5,13.82
242,5th generation,1,16,0,16.25
243,Innovative,4,18,0,69.61
244,portal,1,7,4,86.98
245,web-enabled,1,20,3,70.63
246,knowledge base,4,20,6,84.39
